lga_code,lga_name,2021_incr_det_ms,2021_incr_med_ms,2021_incr_high_ms,2022_incr_det_ms,2022_incr_med_ms,2022_incr_high_ms,2023_incr_det_ms,2023_incr_med_ms,2023_incr_high_ms,2024_incr_det_ms,2024_incr_med_ms,2024_incr_high_ms,2025_incr_det_ms,2025_incr_med_ms,2025_incr_high_ms,2026_incr_det_ms,2026_incr_med_ms,2026_incr_high_ms,2027_incr_det_ms,2027_incr_med_ms,2027_incr_high_ms,2028_incr_det_ms,2028_incr_med_ms,2028_incr_high_ms,2029_incr_det_ms,2029_incr_med_ms,2029_incr_high_ms,2030_incr_det_ms,2030_incr_med_ms,2030_incr_high_ms,2031_incr_det_ms,2031_incr_med_ms,2031_incr_high_ms,2032_incr_det_ms,2032_incr_med_ms,2032_incr_high_ms,2033_incr_det_ms,2033_incr_med_ms,2033_incr_high_ms,2034_incr_det_ms,2034_incr_med_ms,2034_incr_high_ms,2035_incr_det_ms,2035_incr_med_ms,2035_incr_high_ms
13800,Hawkesbury (C),106.0,15.0,0.0,106.0,15.0,0.0,106.0,15.0,0.0,106.0,15.0,0.0,106.0,15.0,0.0,152.0,22.0,0.0,152.0,22.0,0.0,152.0,22.0,0.0,152.0,22.0,0.0,152.0,22.0,0.0,214.0,30.0,0.0,214.0,30.0,0.0,214.0,30.0,0.0,214.0,30.0,0.0,214.0,30.0,0.0
13850,Hay (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13910,Hilltops (A),40.0,3.0,0.0,40.0,3.0,0.0,40.0,3.0,0.0,40.0,3.0,0.0,40.0,3.0,0.0,32.0,2.0,0.0,32.0,2.0,0.0,32.0,2.0,0.0,32.0,2.0,0.0,32.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0
14000,Hornsby (A),170.0,50.0,2.0,170.0,50.0,2.0,170.0,50.0,2.0,170.0,50.0,2.0,170.0,50.0,2.0,242.0,71.0,2.0,242.0,71.0,2.0,242.0,71.0,2.0,242.0,71.0,2.0,242.0,71.0,2.0,246.0,73.0,2.0,246.0,73.0,2.0,246.0,73.0,2.0,246.0,73.0,2.0,246.0,73.0,2.0
14100,Hunters Hill (A),7.0,2.0,0.0,7.0,2.0,0.0,7.0,2.0,0.0,7.0,2.0,0.0,7.0,2.0,0.0,10.0,4.0,0.0,10.0,4.0,0.0,10.0,4.0,0.0,10.0,4.0,0.0,10.0,4.0,0.0,14.0,5.0,0.0,14.0,5.0,0.0,14.0,5.0,0.0,14.0,5.0,0.0,14.0,5.0,0.0
14170,Inner West (A),16.0,16.0,3.0,16.0,16.0,3.0,16.0,16.0,3.0,16.0,16.0,3.0,16.0,16.0,3.0,54.0,57.0,11.0,54.0,57.0,11.0,54.0,57.0,11.0,54.0,57.0,11.0,54.0,57.0,11.0,66.0,70.0,14.0,66.0,70.0,14.0,66.0,70.0,14.0,66.0,70.0,14.0,66.0,70.0,14.0
14220,Inverell (A),7.0,3.0,0.0,7.0,3.0,0.0,7.0,3.0,0.0,7.0,3.0,0.0,7.0,3.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,5.0,3.0,0.0,5.0,3.0,0.0,5.0,3.0,0.0,5.0,3.0,0.0,5.0,3.0,0.0
14300,Junee (A),14.0,1.0,0.0,14.0,1.0,0.0,14.0,1.0,0.0,14.0,1.0,0.0,14.0,1.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0
14350,Kempsey (A),51.0,5.0,0.0,51.0,5.0,0.0,51.0,5.0,0.0,51.0,5.0,0.0,51.0,5.0,0.0,55.0,6.0,0.0,55.0,6.0,0.0,55.0,6.0,0.0,55.0,6.0,0.0,55.0,6.0,0.0,44.0,4.0,0.0,44.0,4.0,0.0,44.0,4.0,0.0,44.0,4.0,0.0,44.0,4.0,0.0
14400,Kiama (A),81.0,37.0,0.0,81.0,37.0,0.0,81.0,37.0,0.0,81.0,37.0,0.0,81.0,37.0,0.0,100.0,46.0,0.0,100.0,46.0,0.0,100.0,46.0,0.0,100.0,46.0,0.0,100.0,46.0,0.0,106.0,49.0,0.0,106.0,49.0,0.0,106.0,49.0,0.0,106.0,49.0,0.0,106.0,49.0,0.0
