state_code,state_name,lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw,Unnamed: 6,2021_incr,2022_incr,2023_incr,2024_incr,2025_incr,2026_incr,2027_incr,2028_incr,2029_incr,2030_incr,2031_incr,2032_incr,2033_incr,2034_incr,2035_incr
1,New South Wales,10500,Bayside (A),,71879.0,72338.0,77841.0,81199.0,83629.0,,,92.0,92.0,92.0,92.0,92.0,1101.0,1101.0,1101.0,1101.0,1101.0,672.0,672.0,672.0,672.0,672.0
1,New South Wales,10550,Bega Valley (A),,19195.0,19948.0,20601.0,21082.0,21400.0,,,151.0,151.0,151.0,151.0,151.0,131.0,131.0,131.0,131.0,131.0,96.0,96.0,96.0,96.0,96.0
1,New South Wales,10600,Bellingen (A),,6458.0,6596.0,6733.0,6841.0,6911.0,,,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,21.0,21.0,21.0,21.0,21.0
1,New South Wales,10650,Berrigan (A),,4800.0,4951.0,5187.0,5406.0,5613.0,,,30.0,30.0,30.0,30.0,30.0,47.0,47.0,47.0,47.0,47.0,44.0,44.0,44.0,44.0,44.0
1,New South Wales,10750,Blacktown (C),,129208.0,138549.0,151893.0,166109.0,180693.0,,,1868.0,1868.0,1868.0,1868.0,1868.0,2669.0,2669.0,2669.0,2669.0,2669.0,2843.0,2843.0,2843.0,2843.0,2843.0
1,New South Wales,10800,Bland (A),,3058.0,3146.0,3222.0,3261.0,3278.0,,,18.0,18.0,18.0,18.0,18.0,15.0,15.0,15.0,15.0,15.0,8.0,8.0,8.0,8.0,8.0
1,New South Wales,10850,Blayney (A),,3413.0,3461.0,3537.0,3619.0,3698.0,,,10.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0
1,New South Wales,10900,Blue Mountains (C),,36754.0,38201.0,39647.0,41070.0,42450.0,,,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,285.0,285.0,285.0,285.0,285.0
1,New South Wales,10950,Bogan (A),,1271.0,1139.0,1019.0,910.0,803.0,,,-26.0,-26.0,-26.0,-26.0,-26.0,-24.0,-24.0,-24.0,-24.0,-24.0,-22.0,-22.0,-22.0,-22.0,-22.0
1,New South Wales,11150,Bourke (A),,1248.0,1150.0,1053.0,939.0,820.0,,,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-23.0,-23.0,-23.0,-23.0,-23.0
1,New South Wales,11200,Brewarrina (A),,776.0,759.0,729.0,673.0,582.0,,,-3.0,-3.0,-3.0,-3.0,-3.0,-6.0,-6.0,-6.0,-6.0,-6.0,-11.0,-11.0,-11.0,-11.0,-11.0
1,New South Wales,11250,Broken Hill (C),,9293.0,8685.0,8026.0,7247.0,6361.0,,,-122.0,-122.0,-122.0,-122.0,-122.0,-132.0,-132.0,-132.0,-132.0,-132.0,-156.0,-156.0,-156.0,-156.0,-156.0
1,New South Wales,11300,Burwood (A),,15644.0,17741.0,20015.0,22293.0,23319.0,,,419.0,419.0,419.0,419.0,419.0,455.0,455.0,455.0,455.0,455.0,456.0,456.0,456.0,456.0,456.0
