lga_code,lga_name,SEQ,det,med,high
54480,Kent,,0.75,0.75,0.029
54550,Kojonup,,0.75,0.75,0.029
54620,Kondinin,,0.75,0.75,0.029
54690,Koorda,,0.75,0.75,0.029
54760,Kulin,,0.75,0.75,0.029
54830,Kwinana,,0.75,0.75,0.029
54900,Lake Grace,,0.75,0.75,0.029
54970,Laverton,,0.75,0.75,0.029
55040,Leonora,,0.75,0.75,0.029
55110,Mandurah,,0.75,0.75,0.029
55180,Manjimup,,0.75,0.75,0.029
55250,Meekatharra,,0.75,0.75,0.029
55320,Melville,,0.75,0.75,0.029
55390,Menzies,,0.75,0.75,0.029
55460,Merredin,,0.75,0.75,0.029
55530,Mingenew,,0.75,0.75,0.029
55600,Moora,,0.75,0.75,0.029
55670,Morawa,,0.75,0.75,0.029
55740,Mosman Park,,0.75,0.75,0.029
55810,Mount Magnet,,0.75,0.75,0.029
55880,Mount Marshall,,0.75,0.75,0.029
55950,Mukinbudin,,0.75,0.75,0.029
56090,Mundaring,,0.75,0.75,0.029
56160,Murchison,,0.75,0.75,0.029
56230,Murray,,0.75,0.75,0.029
56300,Nannup,,0.75,0.75,0.029
56370,Narembeen,,0.75,0.75,0.029
56460,Narrogin,,0.75,0.75,0.029
56580,Nedlands,,0.75,0.75,0.029
56620,Ngaanyatjarraku,,0.75,0.75,0.029
56730,Northam,,0.75,0.75,0.029
56790,Northampton,,0.75,0.75,0.029
56860,Nungarin,,0.75,0.75,0.029
56930,Peppermint Grove,,0.75,0.75,0.029
57000,Perenjori,,0.75,0.75,0.029
57080,Perth,,0.75,0.75,0.029
57140,Pingelly,,0.75,0.75,0.029
57210,Plantagenet,,0.75,0.75,0.029
57280,Port Hedland,,0.75,0.75,0.029
57350,Quairading,,0.75,0.75,0.029
57420,Ravensthorpe,,0.75,0.75,0.029
57490,Rockingham,,0.75,0.75,0.029
57630,Sandstone,,0.75,0.75,0.029
57700,Serpentine-Jarrahdale,,0.75,0.75,0.029
57770,Shark Bay,,0.75,0.75,0.029
57840,South Perth,,0.75,0.75,0.029
57910,Stirling,,0.75,0.75,0.029
57980,Subiaco,,0.75,0.75,0.029
58050,Swan,,0.75,0.75,0.029
58190,Tammin,,0.75,0.75,0.029
58260,Three Springs,,0.75,0.75,0.029
58330,Toodyay,,0.75,0.75,0.029
58400,Trayning,,0.75,0.75,0.029
58470,Upper Gascoyne,,0.75,0.75,0.029
58510,Victoria Park,,0.75,0.75,0.029
58540,Victoria Plains,,0.75,0.75,0.029
58570,Vincent,,0.75,0.75,0.029
58610,Wagin,,0.75,0.75,0.029
58680,Wandering,,0.75,0.75,0.029
58760,Wanneroo,,0.75,0.75,0.029
58820,Waroona,,0.75,0.75,0.029
58890,West Arthur,,0.75,0.75,0.029
59030,Westonia,,0.75,0.75,0.029
59100,Wickepin,,0.75,0.75,0.029
59170,Williams,,0.75,0.75,0.029
59250,Wiluna,,0.75,0.75,0.029
59310,Wongan-Ballidu,,0.75,0.75,0.029
59320,Woodanilling,,0.75,0.75,0.029
59330,Wyalkatchem,,0.75,0.75,0.029
59340,Wyndham-East Kimberley,,0.75,0.75,0.029
59350,Yalgoo,,0.75,0.75,0.029
59360,Yilgarn,,0.75,0.75,0.029
59370,York,,0.75,0.75,0.029
59499,No usual address (WA),,0.75,0.75,0.029
59799,Migratory - Offshore - Shipping (WA),,0.75,0.75,0.029
60210,Break O'Day,,0.75,0.75,0.029
60410,Brighton,,0.75,0.75,0.029
60610,Burnie,,0.75,0.75,0.029
60810,Central Coast (Tas.),,0.75,0.75,0.029
61010,Central Highlands (Tas.),,0.75,0.75,0.029
61210,Circular Head,,0.75,0.75,0.029
61410,Clarence,,0.75,0.75,0.029
61510,Derwent Valley,,0.75,0.75,0.029
61610,Devonport,,0.75,0.75,0.029
61810,Dorset,,0.75,0.75,0.029
62010,Flinders (Tas.),,0.75,0.75,0.029
62210,George Town,,0.75,0.75,0.029
62410,Glamorgan-Spring Bay,,0.75,0.75,0.029
62610,Glenorchy,,0.75,0.75,0.029
62810,Hobart,,0.75,0.75,0.029
63010,Huon Valley,,0.75,0.75,0.029
63210,Kentish,,0.75,0.75,0.029
63410,King Island,,0.75,0.75,0.029
63610,Kingborough,,0.75,0.75,0.029
63810,Latrobe (Tas.),,0.75,0.75,0.029
64010,Launceston,,0.75,0.75,0.029
64210,Meander Valley,,0.75,0.75,0.029
64610,Northern Midlands,,0.75,0.75,0.029
64810,Sorell,,0.75,0.75,0.029
65010,Southern Midlands,,0.75,0.75,0.029
65210,Tasman,,0.75,0.75,0.029
65410,Waratah-Wynyard,,0.75,0.75,0.029
65610,West Coast,,0.75,0.75,0.029
65810,West Tamar,,0.75,0.75,0.029
69499,No usual address (Tas.),,0.75,0.75,0.029
69799,Migratory - Offshore - Shipping (Tas.),,0.75,0.75,0.029
70200,Alice Springs,,0.75,0.75,0.029
70420,Barkly,,0.75,0.75,0.029
70540,Belyuen,,0.75,0.75,0.029
70620,Central Desert,,0.75,0.75,0.029
70700,Coomalie ,,0.75,0.75,0.029
71000,Darwin,,0.75,0.75,0.029
71150,Darwin Waterfront Precinct,,0.75,0.75,0.029
71300,East Arnhem,,0.75,0.75,0.029
72200,Katherine,,0.75,0.75,0.029
72300,Litchfield,,0.75,0.75,0.029
72330,MacDonnell,,0.75,0.75,0.029
72800,Palmerston,,0.75,0.75,0.029
73600,Roper Gulf,,0.75,0.75,0.029
74050,Tiwi Islands,,0.75,0.75,0.029
74550,Victoria Daly,,0.75,0.75,0.029
74560,Wagait,,0.75,0.75,0.029
74660,West Arnhem,,0.75,0.75,0.029
74680,West Daly,,0.75,0.75,0.029
79399,Unincorporated NT,,0.75,0.75,0.029
79499,No usual address (NT),,0.75,0.75,0.029
79799,Migratory - Offshore - Shipping (NT),,0.75,0.75,0.029
89399,Unincorporated ACT,,0.75,0.75,0.029
89499,No usual address (ACT),,0.75,0.75,0.029
89799,Migratory - Offshore - Shipping (ACT),,0.75,0.75,0.029
99399,Unincorp. Other Territories,,0.75,0.75,0.029
99499,No usual address (OT),,0.75,0.75,0.029
99799,Migratory - Offshore - Shipping (OT),,0.75,0.75,0.029
